,Название сети,Номер магазина в сети,Полный адрес,lat,long,gps
38,Магнит,37,"420034, Татарстан Респ, Казань г, Лушникова ул, дом № 10, корпус А",55.82085999465588,49.08766996538623,"[55.82085999465588, 49.08766996538623]"
39,Магнит,38,"420034, Татарстан Респ, Казань г, Лушникова ул, дом № 2, кв.1Н",55.81872998542093,49.08214000476625,"[55.81872998542093, 49.08214000476625]"
40,Магнит,39,"420036, Татарстан Респ, Казань г, Белинского ул, дом № 7",55.85384999208796,49.07763003794366,"[55.85384999208796, 49.07763003794366]"
41,Магнит,40,"420036, Татарстан Респ, Казань г, Копылова ул, дом № 7, корпус А",55.85440998703913,49.08369996076621,"[55.85440998703913, 49.08369996076621]"
42,Магнит,41,"420036, Татарстан Респ, Казань г, Тэцевская ул, дом № 4",55.85008999605202,49.06677999955917,"[55.85008999605202, 49.06677999955917]"
43,Магнит,42,"420036, Татарстан Респ, Казань г, Тэцевская ул, дом № 4, корпус б, кв.1025",55.85008999605202,49.06677999955917,"[55.85008999605202, 49.06677999955917]"
44,Магнит,43,"420037, Татарстан Респ, Казань г, Айдарова ул, дом № 7",55.86720999137833,49.09143997779648,"[55.86720999137833, 49.09143997779648]"
45,Магнит,44,"420037, Татарстан Респ, Казань г, Беломорская ул, дом № 35, корпус А, кв.1001",55.86528999072746,49.06983000648665,"[55.86528999072746, 49.06983000648665]"
46,Магнит,45,"420037, Татарстан Респ, Казань г, Ленинградская ул, дом № 56",55.86876998928784,49.08920997245667,"[55.86876998928784, 49.08920997245667]"
47,Магнит,46,"420037, Татарстан Респ, Казань г, Мариупольская ул, дом № 105",55.88087002089287,49.07666997475394,"[55.88087002089287, 49.07666997475394]"
48,Магнит,47,"420037, Татарстан Респ, Казань г, Пржевальского ул, дом № 2, кв.1001",55.8709699874143,49.09346999092654,"[55.8709699874143, 49.09346999092654]"
49,Магнит,48,"420037, Татарстан Респ, Казань г, Симонова ул, дом № 15",55.86576000594803,49.08670998601556,"[55.86576000594803, 49.08670998601556]"
50,Магнит,49,"420037, Татарстан Респ, Казань г, Челюскина ул, дом № 64",55.87043999967651,49.08128999596522,"[55.87043999967651, 49.08128999596522]"
51,Магнит,50,"420039, Татарстан Респ, Казань г, Восстания ул, дом № 46",55.83372001342184,49.07817000014623,"[55.83372001342184, 49.07817000014623]"
52,Магнит,51,"420039, Татарстан Респ, Казань г, Восход ул, дом № 24",55.8365100137128,49.07364000057507,"[55.8365100137128, 49.07364000057507]"
53,Магнит,52,"420039, Татарстан Респ, Казань г, Гагарина ул, дом № 24",55.83792001746497,49.08742999149831,"[55.83792001746497, 49.08742999149831]"
54,Магнит,53,"420039, Татарстан Респ, Казань г, Гагарина ул, дом № 87",55.83715001392977,49.08509999005361,"[55.83715001392977, 49.08509999005361]"
55,Магнит,54,"420039, Татарстан Респ, Казань г, Декабристов ул, дом № 178, корпус а",55.83661998428246,49.08206004140993,"[55.83661998428246, 49.08206004140993]"
56,Магнит,55,"420043, Татарстан Респ, Казань г, Вишневского ул, дом № 21",55.7891399812834,49.15290003137332,"[55.7891399812834, 49.15290003137332]"
57,Магнит,56,"420043, Татарстан Респ, Казань г, Достоевского ул, дом № 40",55.78795000248959,49.14956998506077,"[55.78795000248959, 49.14956998506077]"
58,Магнит,57,"420043, Татарстан Респ, Казань г, Достоевского ул, дом № 53",55.78895000544793,49.15130998434094,"[55.78895000544793, 49.15130998434094]"
59,Магнит,58,"420044, Татарстан Респ, Казань г, Восстания ул, дом № 8",55.83599000043981,49.09829997881238,"[55.83599000043981, 49.09829997881238]"
60,Магнит,59,"420044, Татарстан Респ, Казань г, Ибрагимова пр-кт, дом № 41, кв.1001",55.83275999214163,49.09202000549624,"[55.83275999214163, 49.09202000549624]"
61,Магнит,60,"420044, Татарстан Респ, Казань г, Ибрагимова пр-кт, дом № 43, корпус А",55.83192462916647,49.09128363785148,"[55.83192462916647, 49.09128363785148]"
62,Магнит,61,"420044, Татарстан Респ, Казань г, Ибрагимова пр-кт, дом № 45",55.82945002048717,49.09316002814711,"[55.82945002048717, 49.09316002814711]"
63,Магнит,62,"420044, Татарстан Респ, Казань г, Ибрагимова пр-кт, дом № 59",55.82783000815093,49.09386000088131,"[55.82783000815093, 49.09386000088131]"
64,Магнит,63,"420044, Татарстан Респ, Казань г, Короленко ул, дом № 41",55.83009999516889,49.10035999915578,"[55.83009999516889, 49.10035999915578]"
65,Магнит,64,"420044, Татарстан Респ, Казань г, Короленко ул, дом № 73, кв.1000",55.8339200056316,49.10055999136557,"[55.8339200056316, 49.10055999136557]"
66,Магнит,65,"420047, Татарстан Респ, Казань г, Центрально-Мариупольская ул, дом № 87, корпус А",55.87518000783174,49.0687700310111,"[55.87518000783174, 49.0687700310111]"
67,Магнит,66,"420049, Татарстан Респ, Казань г, Качалова ул, дом № 86",55.77262000449591,49.14785001852914,"[55.77262000449591, 49.14785001852914]"
68,Магнит,67,"420049, Татарстан Респ, Казань г, Нурсултана Назарбаева ул, дом № 9, корпус 2, кв.1300,1301",55.77613998473441,49.14441000164692,"[55.77613998473441, 49.14441000164692]"
69,Магнит,68,"420049, Татарстан Респ, Казань г, Спартаковская ул, дом № 84, корпус 2, кв.1000",55.77134249755985,49.14713666888293,"[55.77134249755985, 49.14713666888293]"
70,Магнит,69,"420049, Татарстан Респ, Казань г, Спартаковская ул, дом № 86",55.77144905347323,49.14692719156918,"[55.77144905347323, 49.14692719156918]"
71,Магнит,70,"420053, Татарстан Респ, Казань г, Поперечно-Ноксинская ул, дом № 3, корпус А",55.84826999150602,49.19626003559506,"[55.84826999150602, 49.19626003559506]"
72,Магнит,71,"420054, Татарстан Респ, Казань г, Авангардная ул, дом № 171, корпус б, кв.1001",55.73661998181447,49.14624002256721,"[55.73661998181447, 49.14624002256721]"
73,Магнит,72,"420054, Татарстан Респ, Казань г, Авангардная ул, дом № 58",55.74529998737634,49.14353996009731,"[55.74529998737634, 49.14353996009731]"
74,Магнит,73,"420054, Татарстан Респ, Казань г, Авангардная ул, дом № 90, корпус 48",55.73362998931373,49.1442700238639,"[55.73362998931373, 49.1442700238639]"
75,Магнит,74,"420054, Татарстан Респ, Казань г, Тульская ул, дом № 16",55.73121000813842,49.15088996717282,"[55.73121000813842, 49.15088996717282]"
76,Магнит,75,"420055, Татарстан Респ, Казань г, Детский проезд, дом № 1, корпус 1",55.70037677300007,49.13307435900003,"[55.70037677300007, 49.13307435900003]"
77,Магнит,76,"420055, Татарстан Респ, Казань г, Ново-Давликеевская ул, дом № 18, корпус а",55.70710000847797,49.14683002473174,"[55.70710000847797, 49.14683002473174]"
78,Магнит,77,"420055, Татарстан Респ, Казань г, Ново-Давликеевская ул, дом № 2, корпус Е",55.71230006281076,49.14873489424239,"[55.71230006281076, 49.14873489424239]"
79,Магнит,78,"420056, Татарстан Респ, Казань г, Дорожная (Нагорный) ул, дом № 54",55.84907000225459,49.22548002061689,"[55.84907000225459, 49.22548002061689]"
80,Магнит,79,"420059, Татарстан Респ, Казань г, Братьев Баталловых ул, дом № 20, корпус 2",55.7212472975366,49.18827025224664,"[55.7212472975366, 49.18827025224664]"
81,Магнит,80,"420059, Татарстан Респ, Казань г, Оренбургский Тракт ул, дом № 8, корпус Д, кв.1005, 1006",55.7590999946739,49.15021002718723,"[55.7590999946739, 49.15021002718723]"
82,Магнит,81,"420059, Татарстан Респ, Казань г, Павлюхина ул, дом № 101, кв.1000",55.76526999742038,49.14930997842424,"[55.76526999742038, 49.14930997842424]"
83,Магнит,82,"420059, Татарстан Респ, Казань г, Роторная ул, дом № 27, корпус д",55.76505998883633,49.14267000236674,"[55.76505998883633, 49.14267000236674]"
84,Магнит,83,"420059, Татарстан Респ, Казань г, Универсиады пр-кт, дом № 16, кв.1120",55.7647999821998,49.15921998636762,"[55.7647999821998, 49.15921998636762]"
85,Магнит,84,"420059, Татарстан Респ, Казань г, Хади Такташа ул, дом № 119",55.76787999634067,49.13456998259508,"[55.76787999634067, 49.13456998259508]"
86,Магнит,85,"420061, Татарстан Респ, Казань г, Академика Губкина ул, дом № 1, кв.1000",55.80337999658818,49.18626998047637,"[55.80337999658818, 49.18626998047637]"
87,Магнит,86,"420061, Татарстан Респ, Казань г, Академика Губкина ул, дом № 31, корпус а",55.80877999579943,49.19626003559506,"[55.80877999579943, 49.19626003559506]"
88,Магнит,87,"420061, Татарстан Респ, Казань г, Академика Губкина ул, дом № 75",55.81151999803797,49.20435997154766,"[55.81151999803797, 49.20435997154766]"
89,Магнит,88,"420061, Татарстан Респ, Казань г, Космонавтов ул, дом № 1",55.80221998309821,49.18695000428099,"[55.80221998309821, 49.18695000428099]"
90,Магнит,89,"420061, Татарстан Респ, Казань г, Космонавтов ул, дом № 16",55.79845001259747,49.19128998610717,"[55.79845001259747, 49.19128998610717]"
91,Магнит,90,"420061, Татарстан Респ, Казань г, Космонавтов ул, дом № 28",55.79776998879285,49.19141998942541,"[55.79776998879285, 49.19141998942541]"
92,Магнит,91,"420061, Татарстан Респ, Казань г, Космонавтов ул, дом № 44",55.79523002067359,49.1939499830799,"[55.79523002067359, 49.1939499830799]"
93,Магнит,92,"420061, Татарстан Респ, Казань г, Николая Ершова ул, дом № 51",55.79684001663551,49.1750799720991,"[55.79684001663551, 49.1750799720991]"
94,Магнит,93,"420061, Татарстан Респ, Казань г, Сибирский Тракт ул, дом № 4, кв.1000",55.82212507909372,49.18518998793386,"[55.82212507909372, 49.18518998793386]"
95,Магнит,94,"420064, Татарстан Респ, Казань г, Андрея Адо ул, дом № 17",55.71440001750105,49.18412002231187,"[55.71440001750105, 49.18412002231187]"
96,Магнит,95,"420064, Татарстан Респ, Казань г, Баки Урманче ул, дом № 8",55.73142999118727,49.17267998176285,"[55.73142999118727, 49.17267998176285]"
97,Магнит,96,"420064, Татарстан Респ, Казань г, Оренбургский Тракт ул, дом № 140, корпус Д",55.83427237469107,49.05053173389815,"[55.83427237469107, 49.05053173389815]"
98,Магнит,97,"420064, Татарстан Респ, Казань г, Рауиса Гареева ул, дом № 103",55.7222300142619,49.17244000787494,"[55.7222300142619, 49.17244000787494]"
99,Магнит,98,"420064, Татарстан Респ, Казань г, Рауиса Гареева ул, дом № 108, кв.1001",55.72479998959452,49.17293001393458,"[55.72479998959452, 49.17293001393458]"
100,Магнит,99,"420066, Татарстан Респ, Казань г, Абсалямова ул, дом № 29, корпус Б",55.82223001672989,49.10961999050789,"[55.82223001672989, 49.10961999050789]"
101,Магнит,100,"420066, Татарстан Респ, Казань г, Ибрагимова пр-кт, дом № 83, корпус А",55.82197998455817,49.09891001372549,"[55.82197998455817, 49.09891001372549]"
102,Магнит,101,"420066, Татарстан Респ, Казань г, Комсомольская ул, дом № 2",55.81148001635981,49.09553001126997,"[55.81148001635981, 49.09553001126997]"
103,Магнит,102,"420066, Татарстан Респ, Казань г, Черноморская ул, дом № 11",55.82082001297772,49.10393001935628,"[55.82082001297772, 49.10393001935628]"
104,Магнит,103,"420066, Татарстан Респ, Казань г, Ямашева пр-кт, дом № 23, корпус а",55.82660000576945,49.10240996121541,"[55.82660000576945, 49.10240996121541]"
105,Магнит,104,"420071, Татарстан Респ, Казань г, Мира ул, дом № 37",55.86295998928276,49.22102998440201,"[55.86295998928276, 49.22102998440201]"
106,Магнит,105,"420071, Татарстан Респ, Казань г, Мира ул, дом № 43",55.86164998163545,49.21888002623751,"[55.86164998163545, 49.21888002623751]"
107,Магнит,106,"420071, Татарстан Респ, Казань г, Солидарности ул, дом № 4, кв.1",55.86111999389769,49.22542998065492,"[55.86111999389769, 49.22542998065492]"
108,Магнит,107,"420073, Татарстан Респ, Казань г, Аделя Кутуя ул, дом № 110, корпус Г",55.78131091649744,49.19338527963703,"[55.78131091649744, 49.19338527963703]"
109,Магнит,108,"420073, Татарстан Респ, Казань г, Гвардейская ул, дом № 33, кв.1",55.78562000104489,49.17155999186056,"[55.78562000104489, 49.17155999186056]"
110,Магнит,109,"420073, Татарстан Респ, Казань г, Гвардейская ул, дом № 33, корпус 9",55.78562000104489,49.17155999186056,"[55.78562000104489, 49.17155999186056]"
111,Магнит,110,"420073, Татарстан Респ, Казань г, Гвардейская ул, дом № 38",55.7837699892855,49.17011000643024,"[55.7837699892855, 49.17011000643024]"
112,Магнит,111,"420073, Татарстан Респ, Казань г, Гвардейская ул, дом № 6, кв.1001",55.79241998763402,49.17110996747905,"[55.79241998763402, 49.17110996747905]"
113,Магнит,112,"420073, Татарстан Респ, Казань г, Кирпичная ул, дом № 15, корпус А",55.78322998517342,49.1693399609855,"[55.78322998517342, 49.1693399609855]"
114,Магнит,113,"420075, Татарстан Респ, Казань г, Главная ул, дом № 69, кв.1300",55.86666001280147,49.21852002349613,"[55.86666001280147, 49.21852002349613]"
115,Магнит,114,"420075, Татарстан Респ, Казань г, Мира ул, дом № 28",55.86515001294444,49.22473998238553,"[55.86515001294444, 49.22473998238553]"
116,Магнит,115,"420075, Татарстан Респ, Казань г, Мира ул, дом № 7",55.86661001474906,49.23179000114641,"[55.86661001474906, 49.23179000114641]"
117,Магнит,116,"420075, Татарстан Респ, Казань г, Халезова ул, дом № 21",55.86331001755934,49.2170700380658,"[55.86331001755934, 49.2170700380658]"
118,Магнит,117,"420075, Татарстан Респ, Казань г, Халезова ул, дом № 7",55.86824000155005,49.22403003518659,"[55.86824000155005, 49.22403003518659]"
119,Магнит,118,"420076, Татарстан Респ, Казань г, Айрата Арсланова ул, дом № 11",55.86405001388121,48.87938000675263,"[55.86405001388121, 48.87938000675263]"
120,Магнит,119,"420076, Татарстан Респ, Казань г, Гавриила Державина ул, дом № 3, корпус 1",55.84495938188397,48.907317942343,"[55.84495938188397, 48.907317942343]"
121,Магнит,120,"420076, Татарстан Респ, Казань г, Ильгама Шакирова пр-кт, дом № 15, корпус 6, кв.1004, 1005",55.85868266365037,48.9029311945094,"[55.85868266365037, 48.9029311945094]"
122,Магнит,121,"420076, Татарстан Респ, Казань г, Мустая Карима ул, дом № 3, кв.1004, 1005",55.85949000709667,48.89726003114939,"[55.85949000709667, 48.89726003114939]"
123,Магнит,122,"420076, Татарстан Респ, Казань г, Наиля Юсупова ул, дом № 11",55.85558001690339,48.89795002941878,"[55.85558001690339, 48.89795002941878]"
124,Магнит,123,"420076, Татарстан Респ, Казань г, Наиля Юсупова ул, дом № 11, корпус 1103, кв.1104",55.85558001690339,48.89795002941878,"[55.85558001690339, 48.89795002941878]"
125,Магнит,124,"420076, Татарстан Респ, Казань г, Наиля Юсупова ул, дом № 3",55.85274999302473,48.90379003663725,"[55.85274999302473, 48.90379003663725]"
126,Магнит,125,"420076, Татарстан Респ, Казань г, Тансык ул, дом № 5, кв.1022",55.86763998301123,48.87961998064054,"[55.86763998301123, 48.87961998064054]"
127,Магнит,126,"420078, Татарстан Респ, Казань г, Нижняя ул, дом № 8",55.82051998275355,48.89211002220031,"[55.82051998275355, 48.89211002220031]"
128,Магнит,127,"420078, Татарстан Респ, Казань г, Революционная ул, дом № 14",55.81775001521117,48.89639996406456,"[55.81775001521117, 48.89639996406456]"
129,Магнит,128,"420078, Татарстан Респ, Казань г, Революционная ул, дом № 16",55.81780001326362,48.89703003172625,"[55.81780001326362, 48.89703003172625]"
130,Магнит,129,"420079, Татарстан Респ, Казань г, 2-я Старо-Аракчинская ул, дом № 37, корпус А",55.80193001115785,48.96134001620177,"[55.80193001115785, 48.96134001620177]"
131,Магнит,130,"420079, Татарстан Респ, Казань г, Приволжская ул, дом № 105",55.80940997964208,48.92273003650956,"[55.80940997964208, 48.92273003650956]"
132,Магнит,131,"420079, Татарстан Респ, Казань г, Приволжская ул, дом № 210",55.80319039901574,48.94461604234434,"[55.80319039901574, 48.94461604234434]"
133,Магнит,132,"420080, Татарстан Респ, Казань г, Декабристов ул, дом № 112",55.82794002063011,49.08339997245156,"[55.82794002063011, 49.08339997245156]"
134,Магнит,133,"420081, Татарстан Респ, Казань г, Габдуллы Кариева ул, дом № 3, корпус 1000",55.78568001547163,49.18419998566816,"[55.78568001547163, 49.18419998566816]"
135,Магнит,134,"420081, Татарстан Респ, Казань г, Тулпар ул, дом № 5",55.78496000998885,49.18850996028098,"[55.78496000998885, 49.18850996028098]"
136,Магнит,135,"420083, Татарстан Респ, Казань г, Александра Курынова ул, дом № 6, корпус 1",55.80079067258189,49.23906681619454,"[55.80079067258189, 49.23906681619454]"
137,Магнит,136,"420083, Татарстан Респ, Казань г, Натана Рахлина ул, дом № 7, корпус 2, кв.1001, 1002",55.80188998757018,49.24353003001005,"[55.80188998757018, 49.24353003001005]"
138,Магнит,137,"420085, Татарстан Респ, Казань г, Гудованцева ул, дом № 17",55.86482999188118,49.01852999302491,"[55.86482999188118, 49.01852999302491]"
139,Магнит,138,"420087, Татарстан Респ, Казань г, Аметьевская магистраль ул, дом № 16, корпус 1, кв.1050",55.76768831322763,49.17069496565484,"[55.76768831322763, 49.17069496565484]"
140,Магнит,139,"420087, Татарстан Респ, Казань г, Аметьевская магистраль ул, дом № 18, корпус 1, кв.1072",55.76664519997372,49.16990272187628,"[55.76664519997372, 49.16990272187628]"
141,Магнит,140,"420087, Татарстан Респ, Казань г, Аметьевская магистраль ул, дом № 2, кв.1001",55.77280998033137,49.17375998998702,"[55.77280998033137, 49.17375998998702]"
142,Магнит,141,"420087, Татарстан Респ, Казань г, Даурская 2-я ул, дом № 2, корпус 1100",55.76259998407335,49.16524003686627,"[55.76259998407335, 49.16524003686627]"
143,Магнит,142,"420087, Татарстан Респ, Казань г, Карбышева ул, дом № 13",55.76257001876951,49.17851998898132,"[55.76257001876951, 49.17851998898132]"
144,Магнит,143,"420087, Татарстан Респ, Казань г, Карбышева ул, дом № 15, кв.1Н",55.76095000643326,49.17867999951292,"[55.76095000643326, 49.17867999951292]"
145,Магнит,144,"420087, Татарстан Респ, Казань г, Карбышева ул, дом № 40",55.76256000239522,49.17734995911707,"[55.76256000239522, 49.17734995911707]"
146,Магнит,145,"420087, Татарстан Респ, Казань г, Комарова ул, дом № 4",55.75799999561067,49.17191999460195,"[55.75799999561067, 49.17191999460195]"
147,Магнит,146,"420087, Татарстан Респ, Казань г, Латышских Стрелков ул, дом № 10",55.76106999337722,49.16916997598912,"[55.76106999337722, 49.16916997598912]"
148,Магнит,147,"420088, Татарстан Респ, Казань г, Зур Урам ул, дом № 1, корпус к",55.8050800141902,49.19929000977393,"[55.8050800141902, 49.19929000977393]"
149,Магнит,148,"420088, Татарстан Респ, Казань г, Зур Урам ул, дом № 10, корпус 1001",55.80666000293877,49.19765000659862,"[55.80666000293877, 49.19765000659862]"
150,Магнит,149,"420088, Татарстан Респ, Казань г, Ново-Азинская ул, дом № 12, кв.1006",55.81296998346829,49.19647997673437,"[55.81296998346829, 49.19647997673437]"
151,Магнит,150,"420088, Татарстан Респ, Казань г, Ново-Азинская ул, дом № 35",55.8116800085696,49.19616003949017,"[55.8116800085696, 49.19616003949017]"
152,Магнит,151,"420088, Татарстан Респ, Казань г, Победы пр-кт, дом № 220, корпус Б",55.80585001772542,49.20618001800318,"[55.80585001772542, 49.20618001800318]"
153,Магнит,152,"420088, Татарстан Респ, Казань г, Победы пр-кт, дом № 220, корпус В",55.80585001772542,49.20618001800318,"[55.80585001772542, 49.20618001800318]"
154,Магнит,153,"420091, Татарстан Респ, Казань г, Химиков ул, дом № 45",55.87342001771248,49.01695997874111,"[55.87342001771248, 49.01695997874111]"
155,Магнит,154,"420094, Татарстан Респ, Казань г, Гагарина ул, дом № 43, корпус А",55.83997999589889,49.10541998646474,"[55.83997999589889, 49.10541998646474]"
156,Магнит,155,"420094, Татарстан Респ, Казань г, Голубятникова ул, дом № 21, корпус А, кв.1000",55.83769001804185,49.10705998964005,"[55.83769001804185, 49.10705998964005]"
157,Магнит,156,"420094, Татарстан Респ, Казань г, Маршала Чуйкова ул, дом № 3, корпус 1004",55.83628998875446,49.10462999209045,"[55.83628998875446, 49.10462999209045]"
158,Магнит,157,"420094, Татарстан Респ, Казань г, Маршала Чуйкова ул, дом № 5",55.83628998875446,49.10558997146114,"[55.83628998875446, 49.10558997146114]"
159,Магнит,158,"420094, Татарстан Респ, Казань г, Мусина ул, дом № 69, корпус 2, кв.1001",55.83728999171279,49.12005001172426,"[55.83728999171279, 49.12005001172426]"
160,Магнит,159,"420095, Татарстан Респ, Казань г, Восстания ул, дом № 92, корпус а",55.83251000187943,49.05344003301741,"[55.83251000187943, 49.05344003301741]"
161,Магнит,160,"420095, Татарстан Респ, Казань г, Восход ул, дом № 7",55.82791001341673,49.07173001629846,"[55.82791001341673, 49.07173001629846]"
