,ban,carbonated,water,laimon_fresh,laimon_fresh_mango,seven_up,seven_up_mojito,seven_up_lemon_lemon,sprite,sprite_ice,sprite_ice_zero,arctic
0,638431228.69,188430084.81,133228467.94,2378207.6,63428.75,166791.86,,0.0,5105.66,1599.41,93.99,264788.91
1,6174495825.71,1748765881.42,1410540196.6,23965858.05,694823.43,1030605.46,,0.0,29635.92,15352.66,715.13,3485922.83
2,5732018987.91,1539352915.01,1293360453.17,19182249.69,532195.97,791856.82,67.98,0.0,24981.09,7262.64,179.53,3835368.93
3,5971308499.77,1562613472.43,1348539500.05,18564717.87,750476.62,724656.66,,0.0,10128.82,3654.54,79.99,3844076.69
4,6005297948.35,1537170876.82,1325424976.71,19108283.5,1064063.01,567270.5,,0.0,2732.39,416.93,73.99,3652853.56
5,1611605122.94,373935146.63,352838557.54,4521521.33,257062.56,116223.39,,0.0,570.63,0.0,0.0,1048216.97
